AssetName,Priority,ImportTargetPath,SourcePrompt,RequiredMaterialSlots,PivotCheck,CollisionCheck,NaniteOrLOD,PlacementZone,AcceptanceCheck,Status,Notes
SM_Rift_CrystalCluster_S_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_CrystalCluster_S_A.fbx,Docs/AssetPrompts/LuminousRift/01_BlueCrystalClusters.md,"mat_crystal_blue; mat_blue_emissive; mat_wet_basalt",Base center at floor contact,No collision unless placed in player path,Standard LODs acceptable,All route zones,Reads as a small clean cyan route accent from first-person height,PromptReady,First crystal import batch; verify emissive slot is separate from crystal body.
SM_Rift_CrystalCluster_S_B,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_CrystalCluster_S_B.fbx,Docs/AssetPrompts/LuminousRift/01_BlueCrystalClusters.md,"mat_crystal_blue; mat_blue_emissive; mat_wet_basalt",Base center at floor contact,No collision unless placed in player path,Standard LODs acceptable,All route zones,Reads as a broken asymmetric crystal for wall seams and ledge edges,PromptReady,Use to break repetition near caves and machine panels.
SM_Rift_CrystalCluster_S_C,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_CrystalCluster_S_C.fbx,Docs/AssetPrompts/LuminousRift/01_BlueCrystalClusters.md,"mat_crystal_blue; mat_blue_emissive; mat_wet_basalt",Base center at floor contact,No collision unless placed in player path,Standard LODs acceptable,All route zones,Reads as low dense scatter without blocking traversal,PromptReady,Good for breadcrumb repetition and small foreground glow.
SM_Rift_CrystalCluster_M_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_CrystalCluster_M_A.fbx,Docs/AssetPrompts/LuminousRift/01_BlueCrystalClusters.md,"mat_crystal_blue; mat_blue_emissive; mat_wet_basalt",Base center at floor contact,Simple convex if close to route,Nanite acceptable,Abyssal Approach / Crystal Galleries,Reads as a medium route marker at 20-35 m spacing,PromptReady,Primary medium placement variant.
SM_Rift_CrystalCluster_M_B,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_CrystalCluster_M_B.fbx,Docs/AssetPrompts/LuminousRift/01_BlueCrystalClusters.md,"mat_crystal_blue; mat_blue_emissive; mat_wet_basalt",Base or wall-anchor contact documented,Simple convex if close to route,Nanite acceptable,Abyssal Approach / Crystal Galleries,Leaning fan silhouette is visible against dark rock,PromptReady,Use on walls and diagonal bridge approaches.
SM_Rift_CrystalCluster_M_C,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_CrystalCluster_M_C.fbx,Docs/AssetPrompts/LuminousRift/01_BlueCrystalClusters.md,"mat_crystal_blue; mat_blue_emissive; mat_wet_basalt",Base center at floor contact,Simple convex if close to route,Nanite acceptable,Abyssal Approach / Crystal Galleries,Broken shard silhouette gives variety without looking like debris,PromptReady,Good near damaged machine seams.
SM_Rift_CrystalCluster_L_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_CrystalCluster_L_A.fbx,Docs/AssetPrompts/LuminousRift/01_BlueCrystalClusters.md,"mat_crystal_blue; mat_blue_emissive; mat_wet_basalt",Base center at floor contact,Simple convex if player-adjacent,Nanite recommended,Crystal Galleries / First Overlook,Reads as a large focal crystal but does not compete with the central orb,PromptReady,Use sparingly near reveal and gallery beats.
SM_Rift_CrystalCluster_L_B,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_CrystalCluster_L_B.fbx,Docs/AssetPrompts/LuminousRift/01_BlueCrystalClusters.md,"mat_crystal_blue; mat_blue_emissive; mat_wet_basalt",Base or ledge-anchor contact documented,Simple convex if player-adjacent,Nanite recommended,Crystal Galleries / First Overlook,Asymmetric wall or ledge crystal changes the skyline clearly,PromptReady,Alternate large silhouette for repeated placements.
SM_Rift_CrystalCluster_Hero_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_CrystalCluster_Hero_A.fbx,Docs/AssetPrompts/LuminousRift/01_BlueCrystalClusters.md,"mat_crystal_blue; mat_blue_emissive; mat_wet_basalt",Base center at floor contact,Decorative no collision unless reachable,Nanite recommended,Crystal Galleries / Background,Reads as a 10-18 m hero accent from overlook distances,PromptReady,Keep glow below orb dominance.
SM_Rift_ForegroundLedge_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_ForegroundLedge_A.fbx,Docs/AssetPrompts/LuminousRift/02_ForegroundLedge_RockFrame.md,"mat_wet_basalt; mat_crystal_blue; mat_blue_emissive",Center of walkable top at floor level,Simple walkable collision on central top surface,Nanite recommended,First Overlook / Second Sky Overlook,Creates a jagged dark human-scale reveal ledge with visible abyss drop,PromptReady,First screenshot-critical mesh.
