MapId,AssetName,Priority,AssetType,ApproxDimensionsMeters,MaterialSlots,Status,Notes
MAP_GlassrootForest,SM_Glassroot_RootColumn_S,P1,StaticMesh,"2-5h","mat_glassroot_translucent; mat_red_sap; mat_pearl_stone",Needed,"Small translucent root-column for dense forest dressing."
MAP_GlassrootForest,SM_Glassroot_RootColumn_M,P1,StaticMesh,"6-14h","mat_glassroot_translucent; mat_red_sap; mat_pearl_stone",Needed,"Medium root-column route marker."
MAP_GlassrootForest,SM_Glassroot_RootColumn_Hero,P1,StaticMesh,"30-80h","mat_glassroot_translucent; mat_red_sap; mat_pearl_stone",Needed,"Hero cathedral root used in first overlook."
MAP_GlassrootForest,SM_Glassroot_Terrace_PearlStone_A,P1,StaticMesh,"8-30w","mat_pearl_stone; mat_wet_edge",Needed,"Walkable mineral terrace kit."
MAP_GlassrootForest,SM_Glassroot_RootBridge_A,P1,StaticMesh,"4-8w x 20-50l","mat_glassroot_translucent; mat_red_sap",Needed,"Living bridge variant for traversal."
MAP_GlassrootForest,VFX_Glassroot_SporeMist,P1,VFX,"local fog volume","mat_spore_mist",Needed,"Low-density spore pockets for route and hazard readability."
MAP_InnerSea,SM_InnerSea_BasaltDock_A,P1,StaticMesh,"8-14w x 20-60l","mat_wet_basalt; mat_human_equipment",Needed,"Wet dock foreground for first overlook and route starts."
MAP_InnerSea,SM_InnerSea_BrokenPier_A,P1,StaticMesh,"4-10w x 20-80l","mat_ancient_machine_dark; mat_wet_basalt",Needed,"Ancient pier pieces, partly submerged."
MAP_InnerSea,SM_InnerSea_SubmergedRuin_A,P1,StaticMesh,"10-50w","mat_ancient_machine_dark; mat_blue_emissive; mat_wet_basalt",Needed,"Half-submerged machine ruin silhouettes."
MAP_InnerSea,BP_InnerSea_PlanktonTrailSpline,P1,Blueprint/VFX,"route-scale spline","mat_gold_plankton",Needed,"Gold plankton paths on water surface."
MAP_InnerSea,M_InnerSea_SilverBlackWater_Master,P1,Material,"map-wide water plane","water material",Needed,"Reflective dark water with teal depth and gold reflections."
MAP_FossilSky,SM_FossilSky_CeilingSkeleton_Hero_A,P2,StaticMesh,"80-200l","mat_bone_stone; mat_cyan_fossil_vein",Needed,"Hero ceiling fossil visible from first overlook."
MAP_FossilSky,SM_FossilSky_GiantRib_A,P2,StaticMesh,"10-40h","mat_bone_stone; mat_cyan_fossil_vein",Needed,"Rib arch modules for ceiling and route."
MAP_FossilSky,SM_FossilSky_ObservationWalkway_A,P2,StaticMesh,"3-6w x 20-80l","mat_ancient_machine_dark; mat_dust",Needed,"Narrow suspended traversal walkway."
MAP_FossilSky,VFX_FossilSky_AmberDustShaft,P2,VFX,"10-50h","mat_amber_dust",Needed,"Volumetric dust/light shaft cards."
MAP_GravityWell,SM_GravityWell_FloatingPlatform_A,P2,StaticMesh,"6-30w","mat_dark_basalt; mat_blue_emissive",Needed,"Floating traversal platform with anchor details."
MAP_GravityWell,SM_GravityWell_CurvedTower_A,P2,StaticMesh,"20-80h","mat_ancient_machine_dark; mat_amber_stabilizer",Needed,"Curved stabilizer tower around anomaly."
MAP_GravityWell,BP_GravityWell_AnomalyCore,P2,Blueprint/VFX,"30-80 diameter","mat_lensing_energy",Needed,"Central gravity anomaly with lights, VFX, and postprocess."
MAP_GravityWell,BP_GravityWell_ReorientationVolume,P2,Blueprint,"route gate volume","debug/editor material",Needed,"Gravity direction change trigger prototype."
MAP_MantleGarden,SM_MantleGarden_ObsidianRidge_A,P2,StaticMesh,"4-10w x 20-80l","mat_obsidian; mat_heat_crack",Needed,"Walkable black ridge through heat zones."
MAP_MantleGarden,SM_MantleGarden_SteamVent_A,P2,StaticMesh,"2-8 diameter","mat_obsidian; mat_heat_bloom",Needed,"Vent cone/base for timed pressure hazard."
MAP_MantleGarden,SM_MantleGarden_MineralFlower_A,P2,StaticMesh,"0.5-3h","mat_magenta_mineral; mat_heat_edge",Needed,"Magenta mineral bloom route/safe-zone accent."
MAP_MantleGarden,BP_MantleGarden_PressureVent,P2,Blueprint/Hazard,"hazard radius 3-12m","mat_heat_bloom; VFX steam",Needed,"Timed steam/heat eruption hazard derived from Ember Vent work."
