ChecklistId,Zone,ObjectType,TargetName,Priority,ApproxLocation,Status,AcceptanceCriteria,Notes
LRB_Z01_001,Descent Elevator,Placement,PlayerStart,P0,"X=0 Y=0 Z=100",NotStarted,"Player starts on the survey platform facing +X toward the hidden exit tunnel.","Use the Blueprint player start expected by the current game mode."
LRB_Z01_002,Descent Elevator,Mesh,SM_Human_SurveyPlatform_A,P0,"X=0 Y=0 Z=0",NotStarted,"A 10-14 m temporary human platform anchors the opening and makes the player scale readable.","Blockout platform is acceptable until the human survey kit exists."
LRB_Z01_003,Descent Elevator,Environment,Basalt shaft shell,P0,"Around X=0..3000",NotStarted,"Black basalt walls surround the elevator and hide the main rift view until Zone 2.","Use dark rock modules or primitives with rough vertical silhouettes."
LRB_Z01_004,Descent Elevator,Props,Human survey dressing,P1,"Near elevator platform and access tunnel",NotStarted,"4-6 temporary props are visible: crates, cable coils, portable lamps, or rail sections.","Keep props recent and practical, not ancient."
LRB_Z01_005,Descent Elevator,Discovery,D_Human_SurveyElevator,P0,"X=1800 Y=0 Z=120",NotStarted,"Discovery actor scans from the player path and records the human survey elevator entry.","Set ScanFocusOffset to approximately 0,0,80."
LRB_Z01_006,Descent Elevator,Lighting,Human work lights,P1,"Elevator platform and tunnel",NotStarted,"Small white/amber lamps illuminate the human staging area without competing with the rift glow.","Target radius 400-600 cm per lamp."
LRB_Z01_007,Descent Elevator,ObjectiveTrigger,OBJ_DescentElevator,P0,"X=2700 Y=0 Z=150",NotStarted,"Trigger completes the first objective as the player exits the start tunnel.","Suggested box 600x400x300 cm."
LRB_Z02_001,First Overlook,Mesh,SM_Rift_ForegroundLedge_A,P0,"X=3600 Y=0 Z=0",NotStarted,"The ledge provides an 8-12 m playable overlook and visually reads as a 25-40 m shelf.","Must support the first concept-art composition."
LRB_Z02_002,First Overlook,Environment,Rock overhang frame,P0,"Above and left of overlook view",NotStarted,"Dark rock frames the top and left side of the vista without blocking the orb, collector array, or gate.","Use SM_Rift_RockArch_A / SM_Rift_Overhang_A when available."
LRB_Z02_003,First Overlook,Mesh,Blue foreground crystals,P0,"Near overlook ledge edges",NotStarted,"3-5 small or medium crystal clusters create cyan foreground accents and route language.","Do not over-light the vista; the orb remains the focal point."
LRB_Z02_004,First Overlook,Prop,Human scale marker,P1,"Near ledge edge",NotStarted,"A beacon, lamp, tripod, or crate makes the ledge scale readable in screenshots.","Keep it small enough not to steal focus."
LRB_Z02_005,First Overlook,Landmark,BP_RiftEnergyOrb proxy,P0,"X=11500 Y=0 Z=-2000",NotStarted,"A blue-white orb proxy with 18-28 m diameter is visible from the first overlook.","Orb should retain detail and not bloom into a flat disc."
LRB_Z02_006,First Overlook,Landmark,Hex collector array proxy,P0,"Around orb; approx 80-140 m span",NotStarted,"Hex collector clusters read as flower-like panels around the central orb.","Broken or tilted panels should break sterile symmetry."
LRB_Z02_007,First Overlook,Landmark,SM_Rift_AncientWall_Gate_A proxy,P0,"X=11800 Y=6500 Z=-2500",NotStarted,"Right-side gate wall is visible across the void and reads 80-140 m tall.","Circular blue-lit mechanisms must be visible from overlook distance."
LRB_Z02_008,First Overlook,Atmosphere,Lower abyss fog column,P0,"Below orb and route",NotStarted,"Blue atmospheric depth suggests a 300 m or deeper fall beneath the route.","Use fog and distant silhouettes rather than flat floor planes."
LRB_Z02_009,First Overlook,ObjectiveTrigger,OBJ_FirstOverlook,P0,"X=3800 Y=0 Z=200",NotStarted,"Trigger advances once the player reaches the beauty-shot ledge.","Suggested box 900x1200x400 cm."
LRB_Z03_001,Abyssal Approach,Traversal,Staggered basalt ledges,P0,"X=4600..8200 Z=0..-3500",NotStarted,"3-5 ledges form a descending route from natural rock into ancient structures.","Keep route width mostly 6-10 m and readable without excessive railings."
LRB_Z03_002,Abyssal Approach,Mesh,SM_Rift_BridgeSpan_A,P0,"Between approach ledges",NotStarted,"At least one intact ancient bridge span links ledges across the abyss.","Walkable collision must be simple and reliable."
LRB_Z03_003,Abyssal Approach,Mesh,SM_Rift_BridgeSpan_B_Broken,P0,"Between approach ledges",NotStarted,"At least one broken span creates a damaged ancient-machine silhouette without blocking the route.","Missing chunks should be decorative unless traversal is explicitly tested."
LRB_Z03_004,Abyssal Approach,Composition,Orb sightline windows,P0,"Along descent route",NotStarted,"The central orb is visible at least twice through rock or machine openings during the descent.","Use sightline checks from player height."
LRB_Z03_005,Abyssal Approach,Mesh,Crystal breadcrumb clusters,P0,"Every 20-35 m along route",NotStarted,"Medium blue crystals guide the player toward the Collector Array.","Avoid uniform spacing; clusters should feel grown into rock seams."
LRB_Z03_006,Abyssal Approach,Discovery,D_Geo_BlueRiftCrystal,P0,"X=6500 Y=-500 Z=-1800",NotStarted,"Discovery actor can scan a clear blue crystal cluster from the route.","Set ScanFocusOffset to approximately 0,0,140."
LRB_Z03_007,Abyssal Approach,ObjectiveTrigger,OBJ_AbyssalApproach,P0,"X=8100 Y=0 Z=-3300",NotStarted,"Trigger advances after the player reaches the end of the descent sequence.","Suggested box 1000x1000x500 cm."
LRB_Z04_001,Crystal Galleries,Environment,Rock-machine gallery shell,P0,"X=8200..10800",NotStarted,"One side reads as carved ancient wall panels while the other remains basalt cave.","Crystals should visibly pierce both natural and machine surfaces."
LRB_Z04_002,Crystal Galleries,Mesh,Crystal cluster density pass,P0,"Throughout gallery",NotStarted,"8-12 mixed-size clusters fill the gallery, including one 7-9 m large cluster.","This is the strongest close-up crystal zone in the first slice."
LRB_Z04_003,Crystal Galleries,Composition,Orb framed through arch,P0,"Gallery exit sightline",NotStarted,"A rock arch or window frames the orb in the distance from the player path.","This should become a secondary screenshot target."
LRB_Z04_004,Crystal Galleries,Mesh,Small platform node,P1,"Near gallery midpoint",NotStarted,"A circular blue-lit inset platform introduces the Collector Array machine language up close.","Use SM_Rift_PlatformNode_A when available."
LRB_Z04_005,Crystal Galleries,Discovery,D_Anomaly_CrystalResonance,P0,"X=9300 Y=600 Z=-3000",NotStarted,"Discovery actor scans a resonant crystal formation from a clear player-accessible spot.","Set ScanFocusOffset to approximately 0,0,120."
LRB_Z04_006,Crystal Galleries,ObjectiveTrigger,OBJ_CrystalGalleries,P0,"X=10600 Y=0 Z=-2800",NotStarted,"Trigger advances as the player exits the crystal gallery toward the orb apparatus.","Suggested box 900x900x500 cm."
LRB_Z05_001,Collector Array,Blueprint,BP_RiftEnergyOrb,P0,"X=11800 Y=0 Z=-1800",NotStarted,"Orb actor/proxy sits at the visual center with 18-28 m diameter and controlled bloom.","Blueprint may start from a mesh sphere plus emissive material and lights."
LRB_Z05_002,Collector Array,Mesh,SM_Rift_OrbFrame_A,P0,"Around central orb",NotStarted,"Partial ring/frame makes the orb read as contained by ancient machinery.","Frame should not hide the orb from the First Overlook."
LRB_Z05_003,Collector Array,Mesh,SM_Rift_HexCollector_Cluster_A_B,P0,"Around orb at varied heights/depths",NotStarted,"5-8 collector clusters surround the orb and create the concept-art flower pattern.","Include at least one damaged or tilted cluster."
